Site name,Address,Postcode,longitude,latitude,certain or not,coordinate system,error,,,
Church Crookham Pharmacy,"Willis Hall (Adjacent Memorial Hall), Sandy Lane, Church Crookham, Fleet",GU52 8LD,-0.8392086,51.2593224,GEOMETRIC_CENTER,wgs84,,,,
Citywide Health COVID Vaccination Clinic,"6 Wyre Court, Haxby",YO32 2ZB,-1.0806029,54.0188337,ROOFTOP,wgs84,,,,
Clayponds Community Centre (South Ealing Pharmacy),168 Clayponds Gardens,W5 4RQ,-0.3041009,51.4953667,ROOFTOP,wgs84,,,,
Cleggs Pharmacy Wantage,"Unit 3 Kings Walk, Wantage, Oxfordshire",OX12 9AJ,-1.426917,51.58958,ROOFTOP,wgs84,,,,
Clockwork Pharmacy - Deal,"7 High Street, Deal, Kent",CT14 7AA,1.4026492,51.2224462,ROOFTOP,wgs84,,,,
Clockwork Pharmacy - Hackney,"398-400 Mare Street, Hackney, London",E8 1HP,-0.0549927,51.5490405,ROOFTOP,wgs84,,,,
Cockerton Pharmacy ,"5 West Auckland Road, Darlington", DL3 9EJ,-1.5786344,54.5343439,ROOFTOP,wgs84,,,,
Community Hall - St Paul's Church (Fastheal Pharmacy),"Community Hall, St Paul's Church",GU22 7BD,-98.5500454,29.4652562,ROOFTOP,wgs84,,,,
Copes Pharmacy,"570-572 Streatham High Road, London",SW16 3QQ,-0.1262434,51.4167319,ROOFTOP,wgs84,,,,
Cornwell's Chemists Gt Wyrley,"Cornwells Chemist, 126 Wardles Lane, Great Wyrley, Walsall",WS6 6JX,-2.0169536,52.6573685,ROOFTOP,wgs84,,,,
Cottingham Pharmacy ,"342 Wellington Street , Grimsby",DN32 7JR,-0.0627222,53.5665749,ROOFTOP,wgs84,,,,
Cray Hill Chemist,"88 Cotmandene Crescent, St. Pauls Cray, Orpington",BR5 2RG,0.1056502,51.4034626,ROOFTOP,wgs84,,,,
Crescent Pharmacy,"110 Alexandra Road, Ashington, Northumberland, Newcastel Upon Tyne",NE63 9LU,-1.5533916,55.1784811,ROOFTOP,wgs84,,,,
Cullimore Chemist,"54 Glengall Road, Edgware, Middlesex",HA8 8TB,-0.26871,51.62623,ROOFTOP,wgs84,,,,
Daveys Chemist,"112 Dinas Lane, Huyton, Merseyside",L36 2NS,-2.8597428,53.4167188,ROOFTOP,wgs84,,,,
Day Lewis Pharmacy - Brixton,"110 Brixton Hill, Brixton, London",SW2 1AH,-0.1203305,51.4541586,ROOFTOP,wgs84,,,,
Day Lewis Pharmacy - Erith,"249-251 Bexley Rd, Northumberland Heath, Erith",DA8 3EX,0.1628627,51.4738673,ROOFTOP,wgs84,,,,
Day Lewis Pharmacy - Masham,"11 Market Place, Masham, Ripon, North Yorkshire",HG4 4DZ,-1.6557883,54.2218841,ROOFTOP,wgs84,,,,
Day Lewis Pharmacy - Peckham,"151 Peckham High Street, Peckham, London",SE15 5SL,-0.0664041,51.4740172,RANGE_INTERPOLATED,wgs84,,,,
Day Lewis Pharmacy - Richmond,"20 King Street, Richmond, North Yorkshire",DL10 4HP,-1.737185,54.404041,ROOFTOP,wgs84,,,,
Day Lewis Pharmacy - Stoke Newinton,"75-77 Stoke Newington Road, Stoke Newington, London",N16 8AD,-0.0750692,51.5536885,ROOFTOP,wgs84,,,,
Direct Pharmacy,"2-8 Madrid Road, Guildford, Surrey",GU2 7NT,-0.5860837,51.2379339,ROOFTOP,wgs84,,,,
Drugs4Delivery,"Unit 4, Acorn Business Park, Moss Road, Grimsby",DN32 0LT,-0.081769,53.562885,ROOFTOP,wgs84,,,,
East Goscote - St Hilda's Church (Mr Pickford's),"St Hilda's Church, 25 Ling Dale, East Goscote, Leicester",LE7 3XW,-1.0515178,52.7150295,GEOMETRIC_CENTER,wgs84,,,,
Eastcote Pharmacy,"109-111 Field End Road, Eastcote, Pinner, Middlesex",HA5 1QG,-0.3993557,51.5798966,ROOFTOP,wgs84,,,,
Edge Hill University (Aspire Healthcare),"Edge Hill University Main Cark Park, Sport and Physical Activity Building (Wilson Centre), St Helens Road, Ormskirk",L39 4QP,-2.8675476,53.5571287,GEOMETRIC_CENTER,wgs84,,,,
Edwinstowe Pharmacy,"25 High Street, Edwinstowe",NG21 9QP,-1.0639215,53.1941463,ROOFTOP,wgs84,,,,
Eldred Drive Pharmacy,"25 Eldred Drive, Orpington",BR5 4PE,0.116351,51.3743671,ROOFTOP,wgs84,,,,
Everest Pharmacy,"117B Withington Road, Whalley Range, Manchester",M16 8EE,-2.2571875,53.4535048,ROOFTOP,wgs84,,,,
Everest Pharmacy - Darwen,"21 Cemetery Road, Darwen, Lancashire",BB3 2LZ,-2.4588394,53.680311,ROOFTOP,wgs84,,,,
Exley Pharmacy,"Tamworth Baptist Church, Derwent, Belgrave, Tamworth",B77 2LD,-1.6810575,52.6191306,GEOMETRIC_CENTER,wgs84,,,,
Eye Pharmacy,"5 Broad Street, Eye",IP23 7AF,1.1465005,52.3209873,ROOFTOP,wgs84,,,,
Fairfield Pharmacy,"26-28 Glenfield Road, Stockton-on-Tees, Cleveland",TS19 7PQ,-1.3608371,54.5679863,ROOFTOP,wgs84,,,,
Gateway Chemist & Gateway Chemist Covid Vaccine Annex.,"334 & 334A Regents Park Road, Finchley Central, London",N3 2LN,-0.1947259,51.6002594,ROOFTOP,wgs84,,,,
Goldchem Pharmacy,"147a Albert Road, Southsea, Portsmouth, Hampshire",PO4 0JW,-1.0762958,50.7867521,ROOFTOP,wgs84,,,,
Good Health Pharmacy,"112 West Green Road, Tottenham, London",N15 5AA,-0.0778809,51.585144,ROOFTOP,wgs84,,,,
Grasmere Pharmacy,"1 Oakbank, Broadgate, Grasmere",LA22 9TA,-3.0232462,54.4604216,GEOMETRIC_CENTER,wgs84,,,,
Green Lane Mosque (Masters Pharmacy),,B9 5DB,,,,,,,,
Green Light Pharmacy - Haringey,"4 Grand Parade, Green Lanes, Haringey, London",N4 1JX,-0.0993061,51.5819773,ROOFTOP,wgs84,,,,
Greenford Methodist Church (Roxannes Pharmacy),"Ruislip Road, Greenford",UB6 9QN,-0.3643904,51.5305627,GEOMETRIC_CENTER,wgs84,,,,
Greens Norton Community Centre (Jardines Pharmacy),"Towcester Road, Greens Norton, Towcester",NN12 8BL,-1.0196361,52.1448718,GEOMETRIC_CENTER,wgs84,,,,
Greywell Pharmacy,"19 Greywell South, Greywell Shopping Centre, Leigh Park, Havant, Hampshire",PO9 5AH,-0.9847648,50.8677924,GEOMETRIC_CENTER,wgs84,,,,
Grim's Dyke Golf Club,"Oxhey Lane, Hatch End, Pinner, Middlesex",HA5 4AL,-0.3607314,51.615303,GEOMETRIC_CENTER,wgs84,,,,
Gringley On The Hill Community Centre (Wellfield Pharmacy),"Gringley On The Hill Community Centre, Wells Lane, Gringley on the Hill",DN10 4QY,-0.8984425,53.4085156,GEOMETRIC_CENTER,wgs84,,,,
H A McParland Chemist Ltd,"2 Heath Parade, Grahame Park Way, Hendon Village, London",NW9 5ZN,-0.244979,51.597143,GEOMETRIC_CENTER,wgs84,,,,
Haggerston Pharmacy,"201 Haggerston Road, Hackney",E8 4HU,-0.0724666,51.5381927,RANGE_INTERPOLATED,wgs84,,,,
Halls the Chemist (Orton Wistow),"59 Napier Place, Orton Wistow, Peterborough",PE2 6XN,-0.3138825,52.5554406,ROOFTOP,wgs84,,,,
Hamlins NHS Pharmacy COVID 19 Vaccination Centre,"Unit 2 Cranford Court, Bloemfontein Road, London",W12 7DA,-74.2995928,40.6584212,APPROXIMATE,wgs84,,,,
Hathersage Memorial Hall (Hathersage Pharmacy),"Hathersage Memorial Hall, Oddfellows Road, Hathersage, Hope Valley",S32 1DU,-1.6538052,53.3284956,GEOMETRIC_CENTER,wgs84,,,,
Hayden Chemist,"Hayden House, Bridge Road, Lowestoft",NR32 3LL,1.7147505,52.4774189,ROOFTOP,wgs84,,,,
Health Pharmacy,"392-394 Rayners Lane, Pinner, Middlesex",HA5 5DY,-0.3708503,51.5767189,ROOFTOP,wgs84,,,,
Healthways Pharmacy,"382-384 Rayners Lane, Pinner, Middlesex",HA5 5DY,-0.3708904,51.5767735,ROOFTOP,wgs84,,,,
Holland Pharmacy,"77-79 Frinton Road, Holland-on-Sea",CO15 5UH,1.1838607,51.8038739,RANGE_INTERPOLATED,wgs84,,,,
Hollowood Chemist - Wigan,"11 - 13 Mesnes Street, Wigan, Cheshire",WN1 1QP,-2.6309212,53.5483219,ROOFTOP,wgs84,,,,
Hollowood Chemists - Crewe,"136-146 West Street, Crewe, Cheshire",CW1 3HH,-2.454406,53.1019472,ROOFTOP,wgs84,,,,
Hollowood Chemists - Haydock,"Hollowood Vaccination Centre, 210 West End Road, Haydock, St Helens",WA11 0AN,-2.6949187,53.4659294,ROOFTOP,wgs84,,,,
Holmcroft Pharmacy,"Holmcroft Community Centre, Holmcroft Road, Stafford, Staffordshire",ST16 1JG,-2.1320986,52.8224407,GEOMETRIC_CENTER,wgs84,,,,
Home Farm Pharmacy  ,"25 Newburgh Place, Highworth, Swindon",SN6 7DN,-1.7144128,51.6327274,ROOFTOP,wgs84,,,,
Honley Village Hall,"Roundway, Honley, Holmfirth",HD9 6DE,-1.7920678,53.5997266,GEOMETRIC_CENTER,wgs84,,,,
Hootons Pharmacy,"Bolton Wanderers Football Club, Unit 1B, Burnden Way, Horwich, Lancashire",BL6 6JW,-2.5369749,53.5813723,GEOMETRIC_CENTER,wgs84,,,,
Horsley Woodhouse Church Hall,"Main Street, Horsley Woodhouse, Derbyshire",DE7 6AT,-1.417914,53.0007634,GEOMETRIC_CENTER,wgs84,,,,
Horton Pharmacy,"Horton Local Centre, Pelman Way, Epsom",KT19 8HJ,-0.2837333,51.3460958,GEOMETRIC_CENTER,wgs84,,,,
Hull Late Night Pharmacy,"124-127 Witham, Hull",HU9 1AT,-0.327918,53.748062,RANGE_INTERPOLATED,wgs84,,,,
Ikhlas Community Centre (Pear Tree Pharmacy),"Ikhlas Community Centre, 127-129 Clarence Road, Derby",DE23 6LS,-1.4881495,52.9056674,ROOFTOP,wgs84,,,,
Imaan Pharmacy - Bewsey,"WIA, Lockton Lane, Bewsey, Warrington, Cheshire",WA5 0BF,-2.612704,53.397801,GEOMETRIC_CENTER,wgs84,,,,
Imaan Pharmacy - Blackpool,"Moor Park Health Centre, Bristol Avenue, Blackpool",FY2 0JG,-3.0360641,53.8484497,GEOMETRIC_CENTER,wgs84,,,,
Imaan Pharmacy - Wesham,"AFC Flyde Stadium, Mill Farm Sports Village, Coronation Way, Wesham",PR4 3JZ,-2.8906851,53.7980392,GEOMETRIC_CENTER,wgs84,,,,
Imed Pharmacy,"Unit A, Vivo Site, Charrington Place, St.Albans",AL1 3FY,-0.3266497,51.7482252,GEOMETRIC_CENTER,wgs84,,,,
Ingleton Community Centre (Ingleton Pharmacy),"Main Street, Ingleton, North Yorkshire",LA6 3EH,-2.4716126,54.1512661,GEOMETRIC_CENTER,wgs84,,,,
Ingleton Pharmacy,"Settle Methodist Church, Church Street, Settle",BD24 9JH,-2.2804261,54.0709396,GEOMETRIC_CENTER,wgs84,,,,
Islington Arc Centre,"98b St Paul Street, London",N1 7DF,-0.0961268,51.5358808,ROOFTOP,wgs84,,,,
Ixworth Pharmacy,"Ixworth Surgery, Thetford Road, Ixworth, Bury St Edmunds",IP31 2HD,0.8303583,52.3026754,GEOMETRIC_CENTER,wgs84,,,,
Jade Pharmacy (Burnt Oak),"5/6 Silkstream Parade, Watling Avenue, Burnt Oak, Edgware, London",HA8 0EJ,-0.263477,51.6029608,ROOFTOP,wgs84,,,,
Jade Pharmacy Heston Road,"174-176 Heston Road, Heston, Hounslow, Middlesex",TW5 0QU,-0.3728479,51.4844242,ROOFTOP,wgs84,,,,
Jade Pharmacy Vicarage Farm Road,"317-319 Vicarage Farm Road, Hounslow, Middlesex",TW5 0DR,-0.381108,51.483229,ROOFTOP,wgs84,,,,
Jardines Pharmacy - Biggleswade,"The Weatherley Centre, Eagle Farm Road, Biggleswade",SG18 8JH,-0.251112,52.0869765,GEOMETRIC_CENTER,wgs84,,,,
Jardines Pharmacy Buckingham,"10 - 12 Meadow Walk, High Street, Buckingham",MK18 1RS,-0.9851989,52.0006869,ROOFTOP,wgs84,,,,
Jaysons Pharmacy,"97 Arleston Drive, Wollaton, Nottingham",NG8 2GB,-1.229298,52.950553,ROOFTOP,wgs84,,,,
Jinnah Development Trust & Community Centre (Brunshaw Pharmacy),"2 Brougham St, Burnley",BB12 0AS,-2.2488164,53.7961897,ROOFTOP,wgs84,,,,
JMW Vicary Pharmacy - Haddenham,"Haddenham Medical Centre, Stanbridge Road, Haddenham, Buckinghamshire", HP17 8JX,-0.9189793,51.7735114,GEOMETRIC_CENTER,wgs84,,,,
John Bell & Croyden,"50-54 Wigmore Street, London",W1U 2AU,-0.1493576,51.5165798,ROOFTOP,wgs84,,,,
Jubilee Hall,"84 Station Road, Hatton, Derbyshire",DE65 5EL,-1.680269,52.8672455,ROOFTOP,wgs84,,,,
Jubilee Hall (Field Pharmacy),"Pippin Road, East Peckham, Nr Tonbridge, Kent",TN12 5BT,0.3838268,51.2145648,GEOMETRIC_CENTER,wgs84,,,,
Junction Pharmacy,"222 Coldharbour Lane, Brixton, London",SW9 8SA,-0.1028134,51.4658732,ROOFTOP,wgs84,,,,
Kamsons Pharmacy - Moulsecoomb,"50 The Highway, Moulsecoomb, Brighton",BN2 4GB,-0.1151047,50.8455655,ROOFTOP,wgs84,,,,
Kasli Pharmacy,"216 - 218 Tomkinson Road, Nuneaton, London",CV10 8BW,-1.4921799,52.5215281,ROOFTOP,wgs84,,,,
Kellaway Pharmacy,"18 Kellaway Avenue, Bristol",BS6 7XR,-2.6040767,51.4812275,ROOFTOP,wgs84,,,,
Kingshead Pharmacy,59 Sewardstone Road,E4 7PA,-0.0129776,51.6364082,ROOFTOP,wgs84,,,,
Knights Pharmacy,"The Old Savation Army Hall, 74 Blackburn Road, Birstall, Batley",WF17 9PL,-1.6644268,53.7309075,GEOMETRIC_CENTER,wgs84,,,,
Knights Pharmacy - Headless Cross,"9 Palmers Road, Redditch, Worcestershire",B98 0RF,-1.8883502,52.3103447,ROOFTOP,wgs84,,,,
Lalys Pharmacy,"1 Guildhall Walk, Portsmouth, Hampshire",PO1 2RY,-1.0922524,50.7968562,ROOFTOP,wgs84,,,,
Langley COVID-19 Vaccination Centre (Langley Pharmacy),"19 Langley High Street, Oldbury, West Midlands",B69 4SN,-2.0127782,52.4910903,RANGE_INTERPOLATED,wgs84,,,,
