object id,Region,CCG,Site name,Address ,Postcode ,longitude,latitude,certain or not,coordinate system,error
15,East of England,NHS Cambridgeshire and Peterborough CCG,Clay Farm Medical Centre,"Community Centre, Hobson Square, Trumpington",CB2 9FN,0.1226442,52.1735604,GEOMETRIC_CENTER,wgs84,
16,East of England,NHS Cambridgeshire and Peterborough CCG,Cornford House Surgery,"364 Cherry Hinton Rd, Cambridge",CB1 8BA,0.1547035,52.1862305,ROOFTOP,wgs84,
17,East of England,NHS Cambridgeshire and Peterborough CCG,Doddington Hospital,"Benwick Road,  Doddington",PE15 0UG,0.0285312,52.4979031,GEOMETRIC_CENTER,wgs84,
18,East of England,NHS Cambridgeshire and Peterborough CCG,East Barnwell Health Centre,"Ditton Lane, Cambridge ",CB5 8SP,0.1695003,52.2163097,GEOMETRIC_CENTER,wgs84,
19,East of England,NHS Cambridgeshire and Peterborough CCG,Granta Medical Practices,London Road Sawston Cambridge,CB22 3HU,0.1712696,52.114118,GEOMETRIC_CENTER,wgs84,
20,East of England,NHS Cambridgeshire and Peterborough CCG,Huntingdon Road Surgery,"1 Huntingdon Road, Cambridge",CB3 0DB,0.110023,52.2140383,ROOFTOP,wgs84,
21,East of England,NHS Cambridgeshire and Peterborough CCG,Little Paxton,"The Surgery, 40 High street, Little Paxton ",PE19 6EY,-0.2598631,52.2511424,ROOFTOP,wgs84,
22,East of England,NHS Cambridgeshire and Peterborough CCG,Milton Community Hall,"Milton Surgery, 87 Coles Road, Milton Cambridge  ",CB24 6BL,0.1611297,52.2404429,ROOFTOP,wgs84,
23,East of England,NHS Cambridgeshire and Peterborough CCG,North Brink Practice,"7 North Brink, Wisbech",PE13 1JU,0.1564937,52.6651924,ROOFTOP,wgs84,
24,East of England,NHS Cambridgeshire and Peterborough CCG,Over conference & Community Centre,"Over Community Hall, 16 The Doles, Over",CB24 5NW,0.0112494,52.3143606,ROOFTOP,wgs84,
25,East of England,NHS Cambridgeshire and Peterborough CCG,Royston Health Centre,"Melbourn Street, Royston ",SG8 7BS,-0.0221938,52.0482199,GEOMETRIC_CENTER,wgs84,
26,East of England,NHS Cambridgeshire and Peterborough CCG,Stanground Surgery,"Whittlesey Road, Stanground, Peterborough",PE2 8RB,-0.2292528,52.5571582,GEOMETRIC_CENTER,wgs84,
27,East of England,NHS Cambridgeshire and Peterborough CCG,Staploe Medical Centre,"Brewhouse Lane, Soham, Ely. Cambridgeshire",CB7 5JD,0.3416595,52.3348937,GEOMETRIC_CENTER,wgs84,
28,East of England,NHS Cambridgeshire and Peterborough CCG,The Fleet Community Centre in conjuction with Greater Peterborough Network,"Fleet Way, Old Fletton, Peterborough, Cambridgeshire ",PE2 8DL,-0.235441,52.5570567,GEOMETRIC_CENTER,wgs84,
29,East of England,NHS Cambridgeshire and Peterborough CCG,The Jenner Health Centre ,"Turners Lane, Peterborough",PE7 1EJ,-0.1296806,52.5548202,GEOMETRIC_CENTER,wgs84,
30,East of England,NHS Cambridgeshire and Peterborough CCG,The Old Exchange Surgery,"East Street, St Ives",PE27 5PB,-0.0733433,52.324683,GEOMETRIC_CENTER,wgs84,
31,East of England,NHS Cambridgeshire and Peterborough CCG,Thistlemoor Medical Centre,"6-16 Thistlemoor Road, Peterborough",PE1 3HP,-0.256608,52.5941956,ROOFTOP,wgs84,
32,East of England,NHS Cambridgeshire and Peterborough CCG,Thomas Walker Surgery,"Thomas Walker Princes Street, Peterborough ",PE1 2QP,-0.2417666,52.5840224,GEOMETRIC_CENTER,wgs84,
33,East of England,NHS Castle Point and Rochford CCG,Audley Mills Surgery,57 Eastwood Road Rayleigh,SS6 7JF,0.606834,51.5846483,ROOFTOP,wgs84,
34,East of England,NHS Castle Point and Rochford CCG,Benfleet Clinic,"513 High Rd, South Benfleet",SS7 5AD,0.5504779,51.5598326,ROOFTOP,wgs84,
35,East of England,NHS Castle Point and Rochford CCG,Puzey Family Practice,"Southwell House, Back Lane, Rochford",SS4 1AY,0.7060424,51.5819782,ROOFTOP,wgs84,
36,East of England,NHS Castle Point and Rochford CCG,The Paddocks Community Centre,"Long Road, Canvey Island, Essex",SS8 0JA,0.5785549,51.5200665,GEOMETRIC_CENTER,wgs84,
37,East of England,NHS East and North Hertfordshire CCG,"Barclay Hall, Hoddesdon Parish Church","Pauls Lane, Hoddesdon",EN11 8TR,-0.0118136,51.7623488,GEOMETRIC_CENTER,wgs84,
38,East of England,NHS East and North Hertfordshire CCG,Bishops Stortford Football Club,"BSFC, Dunmow Road, Bishop's Stortford, Herts",CM23 5RG,0.1924064,51.8731269,GEOMETRIC_CENTER,wgs84,
39,East of England,NHS East and North Hertfordshire CCG,Halsey Hall,"Turners Hill, Cheshunt",EN8 8NJ,-0.0346251,51.702328,GEOMETRIC_CENTER,wgs84,
40,East of England,NHS East and North Hertfordshire CCG,Hertford Theatre,"The Wash, Hertford",SG14 1PS,-0.0791322,51.7962227,GEOMETRIC_CENTER,wgs84,
41,East of England,NHS East and North Hertfordshire CCG,Moors Walk Surgery,"123 Moors Walk, Welwyn Garden City, Herts",AL7 2BQ,-0.1727481,51.8010276,ROOFTOP,wgs84,
42,East of England,NHS East and North Hertfordshire CCG,Parkway Surgery,Welwyn Garden City,AL8 6HG,-0.208661,51.8031689,APPROXIMATE,wgs84,
43,East of England,NHS East and North Hertfordshire CCG,Roebuck Surgery,"Broadwater Crescent, Stevenage",SG2 8HW,-0.1788894,51.881786,GEOMETRIC_CENTER,wgs84,
44,East of England,NHS East and North Hertfordshire CCG,St Nicholas Health Centre,"57 Canterbury Way, Stevenage Herts",SG1 4QH,-0.1874189,51.9226934,RANGE_INTERPOLATED,wgs84,
45,East of England,NHS East and North Hertfordshire CCG,Stockwell Lodge Medical Centre-Annexe site ,"Stockwell Lodge Medical Centre- Rosedale Way, Cheshunt",EN7 6HL,-0.0552673,51.713828,GEOMETRIC_CENTER,wgs84,
46,East of England,NHS East and North Hertfordshire CCG,"Units 6, 7 and 7a","Units 6, 7 and 7a, Business Park East, Letchworth ",SG6 2TS,-0.2041449,51.9828128,GEOMETRIC_CENTER,wgs84,
47,East of England,NHS East and North Hertfordshire CCG,Ware Drill Hall,"Ware Drill Hall, 17 Armwell End, Ware",SG12 9HP,-0.0296337,51.8089646,ROOFTOP,wgs84,
48,East of England,NHS Herts Valley CCG,Attenborough Surgery,"Bushey Medical Centre, London Road, Bushey",WD23 2NN ,-0.3752972,51.6462545,ROOFTOP,wgs84,
49,East of England,NHS Herts Valley CCG,Bridgewater Surgeries,"Bridgewater House, 7 Printers Ave, Watford",WD18 7QR,-0.4225524,51.6512307,ROOFTOP,wgs84,
50,East of England,NHS Herts Valley CCG,Club Batchwood,"Batchwood Drive, St Albans",AL3 5XA,-0.3473004,51.7635136,GEOMETRIC_CENTER,wgs84,
51,East of England,NHS Herts Valley CCG,Harpenden Public Halls,"Southdown Road, Harpenden",AL5 1TE,-0.3501662,51.8099193,GEOMETRIC_CENTER,wgs84,
52,East of England,NHS Herts Valley CCG,Manor View Practice,"Bushey Medical Centre, London Road, Bushey",WD23 2NN ,-0.3752972,51.6462545,ROOFTOP,wgs84,
53,East of England,NHS Herts Valley CCG,Sheepcot Medical Centre,"6 Cunningham Way, Watford",WD25 7NL,-0.4133807,51.6947001,ROOFTOP,wgs84,
54,East of England,NHS Herts Valley CCG,The Colne Practice,"99A Uxbridge Road, Rickmansworth",WD3 7DJ,-0.4814843,51.6367392,ROOFTOP,wgs84,
55,East of England,NHS Herts Valley CCG,Watford Health Centre," 21 Colne House, Upton Road, Watford",WD180JP,-0.4011458,51.6564058,ROOFTOP,wgs84,
56,East of England,NHS Ipswich and East Suffolk CCG,Constable Country Medical Practice,"East Bergholt Surgery, Health Road, East Bergholt, Colchester ",CO7 6RT,1.0262386,51.9773403,GEOMETRIC_CENTER,wgs84,
57,East of England,NHS Ipswich and East Suffolk CCG,Debenham Leisure Centre,"Gracechurch Street, Stowmarket",IP14 6BL,1.1778286,52.2249255,GEOMETRIC_CENTER,wgs84,
58,East of England,NHS Ipswich and East Suffolk CCG,Hadleigh Health Centre,"Market Place, Hadleigh, Ipswich",IP7 5DN,0.9533091,52.0429188,GEOMETRIC_CENTER,wgs84,
59,East of England,NHS Ipswich and East Suffolk CCG,Ivry Street Medical Practice,"5 Ivry Street, Ipswich",IP1 3QW,1.1489589,52.0639721,ROOFTOP,wgs84,
60,East of England,NHS Ipswich and East Suffolk CCG,Saxmundham Health,"Lambsale Meadow, Saxmundham ",IP17 1DY,1.4913886,52.2181592,GEOMETRIC_CENTER,wgs84,
61,East of England,NHS Ipswich and East Suffolk CCG,Sizewell Sports & Social Club,"King Georges Avenue, Leiston, Suffolk,  ",IP16 4JX,1.5812482,52.2064267,ROOFTOP,wgs84,
62,East of England,NHS Ipswich and East Suffolk CCG,The Grove Medical Centre,"Grove Road, Felixstowe",IP11 9GA,1.3506239,51.9713904,GEOMETRIC_CENTER,wgs84,
63,East of England,NHS Ipswich and East Suffolk CCG,The Mix ,"127 Ipswich Street, Stowmarket  ",IP14 1BB,0.9995515,52.1851617,ROOFTOP,wgs84,
64,East of England,NHS Ipswich and East Suffolk CCG,Trinity Park Conference Centre,"Trinity Park, Felistowe Road, Ipswich",IP3 8UH,1.2227858,52.0328763,GEOMETRIC_CENTER,wgs84,
65,East of England,NHS Ipswich and East Suffolk CCG,Two Rivers Medical Centre,"30 Woodbridge Road East, Ipswich",IP4 5PB,1.1957147,52.0602343,ROOFTOP,wgs84,
66,East of England,NHS Ipswich and East Suffolk CCG,Woodbridge Community Hall,"Station Road, Woodbridge ",IP12 4AU,1.3148086,52.090775,GEOMETRIC_CENTER,wgs84,
67,East of England,NHS Luton CCG,Bushmead Medical Centre,"131 Bushmead Road, Bushmead, Luton",LU2 7YT,-0.4133257,51.9063726,ROOFTOP,wgs84,
68,East of England,NHS Luton CCG,Kingsway Health Centre,"385 Dunstable Road, Luton",LU4 8BY,-0.4425854,51.8900076,ROOFTOP,wgs84,
69,East of England,NHS Mid and South Essex CCG,Holy Trinity R C Parish," 71 Wickhay, Basildon",SS15 5AD,0.4451199,51.5689062,ROOFTOP,wgs84,
70,East of England,NHS Mid Essex CCG,Crouch Vale Medical Centre,"Burnham Road, South Woodham Ferrer",CM3 5QP,0.6060754,51.6529545,GEOMETRIC_CENTER,wgs84,
71,East of England,NHS Mid Essex CCG,Danbury Medical Centre,"52 Maldon Rd, Danbury, Chelmsford",CM3 4QL,0.5865382,51.7160857,ROOFTOP,wgs84,
72,East of England,NHS Mid Essex CCG,Fern House Surgery,"125-9 Newland Street, Witham ",CM8 1BH,0.637616,51.7977595,ROOFTOP,wgs84,
73,East of England,NHS Mid Essex CCG,Maldon District Council Offices,Maldon District Council Offices,CM9 5DL,0.6802402,51.7287379,GEOMETRIC_CENTER,wgs84,
74,East of England,NHS Mid Essex CCG,Melbourne House Surgery,"Parkside Medical Centre, Melbourne Avenue, Chelmsford",CM1 2DY,0.4518043,51.7493034,ROOFTOP,wgs84,
75,East of England,NHS Mid Essex CCG,Pump House Surgery,"Nonancourt Way, Earls Colne, Essex,  ",CO6 2SW,0.6950848,51.926587,GEOMETRIC_CENTER,wgs84,
76,East of England,NHS Mid Essex CCG,Rivermead Gate Medical Practice ,123 Rectory Lane Chelmsford,CM1 1TR,0.4729581,51.740849,ROOFTOP,wgs84,
77,East of England,NHS Mid Essex CCG,St Michaels Hospital,St. Michaels’ Hospital,CM7 2AE,-94.0745293,33.4635719,ROOFTOP,wgs84,
78,East of England,NHS Mid Essex CCG,Whitley House Surgery ,"Writtle Road, Chelmsford, Essex",CM1 3RW,0.4153729,51.7059646,GEOMETRIC_CENTER,wgs84,
79,East of England,NHS Milton Keynes CCG,Asplands Medical Centre,"Asplands Close, Woburn Sands ",MK17 8QP,-0.6500587,52.0127496,GEOMETRIC_CENTER,wgs84,
80,East of England,NHS Milton Keynes CCG,Newport Pagnell Medical Centre,"Queens Avenue, Newport Pagnell, Milton Keynes",MK16 8QT,-0.7273285,52.0871034,GEOMETRIC_CENTER,wgs84,
81,East of England,NHS Milton Keynes CCG,Westcroft Health Centre,"1 Savill Lane, Milton Keynes",MK4 4EN,-0.7957294,52.006313,ROOFTOP,wgs84,
82,East of England,NHS Milton Keynes CCG,Whaddon Medical Centre,"Fern Grove, Milton Keynes",MK2 3HN,-0.7266308,51.9800814,GEOMETRIC_CENTER,wgs84,
83,East of England,NHS Milton Keynes CCG,Whitehouse Medical Centre," Dorset Way, Whitehouse, Milton Keynes",MK8 1BP,-0.8176372,52.0326235,GEOMETRIC_CENTER,wgs84,
84,East of England,NHS Norfolk and Waveney CCG,Cringleford Surgery ,"Cantley Lane, Cringleford, Norwich, Norfolk			",NR4 6TA,1.2343382,52.6020843,GEOMETRIC_CENTER,wgs84,
85,East of England,NHS Norfolk and Waveney CCG,Drayton Surgery ,"8 Manor Farm Close, Drayton, Norwich",NR8 6EE,1.2260817,52.678697,ROOFTOP,wgs84,
86,East of England,NHS Norfolk and Waveney CCG,"Fakenham Medical Practice 		","Meditrina House, Trinity Road, Fakenham",NR21 8SY,0.867618,52.839341,ROOFTOP,wgs84,
87,East of England,NHS Norfolk and Waveney CCG,Falkland Surgery,"Falkland Way, Bradwell",NR31 8RW,1.702003,52.5730547,GEOMETRIC_CENTER,wgs84,
88,East of England,NHS Norfolk and Waveney CCG,Gurney Surgery,"40 Fishergate, Norwich",NR3 1SE,1.2984985,52.6341659,ROOFTOP,wgs84,
89,East of England,NHS Norfolk and Waveney CCG,Hoveton Village Hall,Hoveton,NR12 8DU,1.4119679,52.714772,APPROXIMATE,wgs84,
90,East of England,NHS Norfolk and Waveney CCG,Kirkley Mill,"Clifton Road, Lowestoft		",NR33 0HF,1.7429639,52.4678299,GEOMETRIC_CENTER,wgs84,
91,East of England,NHS Norfolk and Waveney CCG,Lionwood Medical Practice ,"30a Wellesley Avenue North, Norwich		",NR1 4NU,1.3195205,52.633275,ROOFTOP,wgs84,
92,East of England,NHS Norfolk and Waveney CCG,Manor Farm Medical Centre,"Mangate Street, Swaffham ",PE37 7QN,0.6898843,52.6487321,GEOMETRIC_CENTER,wgs84,
93,East of England,NHS Norfolk and Waveney CCG,Poringland Community Centre,"Overtons Way, Poringland, Norwich ",NR14 7WB,1.3441649,52.5699024,GEOMETRIC_CENTER,wgs84,
94,East of England,NHS Norfolk and Waveney CCG,Rossi's leisure centre,"Tungate, North Walsham",NR28 0JQ,1.3710469,52.814504,APPROXIMATE,wgs84,
95,East of England,NHS Norfolk and Waveney CCG,Sheringham Medical Practice,"The Health Centre, Cromer Road",NR26 8RT,1.2147257,52.9396067,ROOFTOP,wgs84,
96,East of England,NHS Norfolk and Waveney CCG,Snettisham Surgery,"Common Road, Snettisham, Norfolk",PE31 7PE,0.4904881,52.8771501,GEOMETRIC_CENTER,wgs84,
97,East of England,NHS Norfolk and Waveney CCG,Sole Bay Health Centre,"Teal Close, Reydon, Southwold,  ",IP18 6GY,1.6658394,52.3365758,GEOMETRIC_CENTER,wgs84,
98,East of England,NHS Norfolk and Waveney CCG,St James Medical Practice,"County Court Road, Kings Lynn, Norfolk			",PE30 5SY,0.4017821,52.7514723,GEOMETRIC_CENTER,wgs84,
99,East of England,NHS Norfolk and Waveney CCG,Swanton Morley Surgery ,"Dereham Road, Swanton Morley, Norfolk 		",NR20 4LT,0.9810197,52.6989891,GEOMETRIC_CENTER,wgs84,
100,East of England,NHS Norfolk and Waveney CCG,Terrington St Johns Surgery ,"Main Road, Wisbech		",PE14 7RR,0.0476472,52.6600934,GEOMETRIC_CENTER,wgs84,
101,East of England,NHS Norfolk and Waveney CCG,The Market Surgery,"26 Norwich Road, Aylsham ",NR11 6BW,1.252999,52.7918168,ROOFTOP,wgs84,
102,East of England,NHS Norfolk and Waveney CCG,Thetford Healthy Living Centre,"Croxton Road, Thetford",IP24 1JD,0.7545572,52.425489,GEOMETRIC_CENTER,wgs84,
103,East of England,NHS North East Essex CCG,Colchester Primary Care Centre,"Turner Road, Mile End, Colchester",CO4 5JR,0.9027578,51.9074181,GEOMETRIC_CENTER,wgs84,
104,East of England,NHS North East Essex CCG,Fryatt Hospital,"419 Main Road, Harwich ",CO12 4EX,1.2608022,51.9339946,ROOFTOP,wgs84,
105,East of England,NHS North East Essex CCG,St Helena Tendring Centre,"17 Jackson Rd, Clacton-on-Sea",CO15 1JP,1.1503433,51.7887823,ROOFTOP,wgs84,
106,East of England,NHS Southend CCG,Belle Vue Baptist Church,"Belle Vue Ave, Southend-on-Sea ",SS1 2QZ,0.7301913,51.5398166,GEOMETRIC_CENTER,wgs84,
107,East of England,NHS Southend CCG,Highlands Surgery,"1446 London Road, Leigh-on-Sea",SS9 2UT,0.6340868,51.5480306,ROOFTOP,wgs84,
108,East of England,NHS Southend CCG,Salvation Army,"Frobisher Way, Shoeburyness",SS3 8UT,0.7844081,51.5419391,GEOMETRIC_CENTER,wgs84,
109,East of England,NHS Southend CCG,"Saxon Hall
","Aviation Way, Southend-on-Sea",SS2 6UN,0.6858304,51.5699846,GEOMETRIC_CENTER,wgs84,
110,East of England,NHS Southend CCG,Valkyrie Primary Care Centre,"1st floor, Valkyrie Primary Care Centre, 50 Valkyrie Road",SS0 8BU,0.6919898,51.5405335,ROOFTOP,wgs84,
111,East of England,NHS Thurrock CCG,Chadwell Medical Centre,"1 Brentwood Road, Grays ",RM16 4JD,0.3682911,51.4821122,ROOFTOP,wgs84,
112,East of England,NHS Thurrock CCG,Stifford Clays Health Centre,"Crammavill Street, Grays",RM16 2AP,0.3261944,51.4975913,GEOMETRIC_CENTER,wgs84,
113,East of England,NHS West Essex CCG,Buckhurst Way Clinic,"49 Buckhurst Way, Buckhurst Hill",IG9 6HP,0.0463391,51.6209925,ROOFTOP,wgs84,
114,East of England,NHS West Essex CCG,Lister Medical Centre,"Lister House, Abercrombie Way, Harlow",CM18 6YJ,0.0901784,51.7535632,ROOFTOP,wgs84,
115,East of England,NHS West Essex CCG,Lord Butler Lesiure Centre,"Peaslands Road, Saffron Walden",CB11 3EG,0.2488797,52.0159304,GEOMETRIC_CENTER,wgs84,
116,East of England,NHS West Essex CCG,St Margaret's Hospital,"Spencer Close, The Plain, Epping",CM16 6TN,0.1239259,51.7031305,GEOMETRIC_CENTER,wgs84,
117,East of England,NHS West Essex CCG,Stansted Surgery,"1st Floor Castle Maltings, Lower Street, Stansted Mountfitchet",CM24 8XG,0.200475,51.902051,GEOMETRIC_CENTER,wgs84,
118,East of England,NHS West Suffolk CCG,Cornard Surgery,"67 Pot Kiln Road, Great Cornard, Sudbury",CO10 0DH,0.7524459,52.0330285,ROOFTOP,wgs84,
119,East of England,NHS West Suffolk CCG,Jubilee Centre,"Jubilee Centre, Recreation Way, Mildenhall",IP28 7HG,0.515824,52.3399262,ROOFTOP,wgs84,
120,East of England,NHS West Suffolk CCG,Lavenham Branch Surgery,"36 Church St,  Lavenham ",CO10 9SA,0.7936698,52.1061636,ROOFTOP,wgs84,
121,East of England,NHS West Suffolk CCG,The Epicentre,"Enterprise Way, Haverhill Research Park, Withersfield, Haverhill ",CB9 7LR,0.4003464,52.0922946,ROOFTOP,wgs84,
122,East of England,NHS West Suffolk CCG,Woolpit Health Centre,"Heath Road, Woolpit, Bury St Edmunds",IP30 9QU,0.8953435,52.2217175,GEOMETRIC_CENTER,wgs84,
123,East of England,NHS West Suffolk CCG ,Swan Surgery,"Northgate Business Park, Bury St Edmunds",IP33 1AE,0.7170357,52.2486484,GEOMETRIC_CENTER,wgs84,
124,East of England ,NHS Bedfordshire CCG,Kings House,245 Ampthill Road,MK42 9AZ,-0.4768877,52.1190153,ROOFTOP,wgs84,
125,East of England ,NHS Cambridgeshire and Peterborough CCG,Dumbelton Medical Centre,"Barford Road, Chapman Way, St.Neots",PE19 2HD,-0.2704091,52.21109,GEOMETRIC_CENTER,wgs84,
126,East of England ,NHS East and North Hertfordshire CCG,"Bellingham Common Room, University of Hertfordshire Education Corporation","Bellingham Common Room, College Road Campus Hatfield ",AL10 9UW,-122.4786854,48.7519112,APPROXIMATE,wgs84,
127,East of England ,NHS East and North Hertfordshire CCG,Courtenay House Surgery (part of Bancroft Medical Centre),"Courtenay House Surgery, 30 Bancroft, Hitchin",SG5 1LH,-0.2773102,51.9511199,ROOFTOP,wgs84,
128,East of England ,NHS Herts Valley CCG,Allum Hall," 2 Allum Ln, Elstree, Borehamwood",WD6 3PJ,-0.2817598,51.6534133,ROOFTOP,wgs84,
129,East of England ,NHS Herts Valley CCG,Dacorum Locality ,"578 - 599, Maxted Road, Hemel Hempstead",HP2 7DX,-0.4362561,51.7679664,RANGE_INTERPOLATED,wgs84,
130,East of England ,NHS Luton CCG,Medici Medical Centre,"3 Windsor Street, Luton",LU1 3UA,-0.4175173,51.8741972,ROOFTOP,wgs84,
131,East of England ,NHS Milton Keynes CCG,Central MK Medical Practice,68 Bradwell Common Boulevard,MK13 8RN,-0.7750426,52.0421002,GEOMETRIC_CENTER,wgs84,
132,East of England ,NHS Milton Keynes CCG,Oakridge Medical Centre,"30 Texel Close, Oakridge Park, Milton Keynes",MK14 6GL,-0.7777242,52.0685445,RANGE_INTERPOLATED,wgs84,
133,East of England ,NHS Norfolk and Waveney CCG,Bowthorpe Health Centre ,"Wendene, Norwich		",NR5 9HA,1.2192548,52.6392185,GEOMETRIC_CENTER,wgs84,
134,East of England ,NHS Norfolk and Waveney CCG,Park Surgery,4 Alexandra Road,NR30 2HW,-74.6429481,40.9089646,ROOFTOP,wgs84,
135,London,NHS Barking and Dagenham CCG,Broadway Theatre,"Broadway, Barking",IG11 7LS,0.0774726,51.5352554,GEOMETRIC_CENTER,wgs84,
136,London,NHS Barking and Dagenham CCG,Parsloes Surgery,"Parsloes Surgery, 370 Parsloes Ave, Dagenham",RM9 5QP,0.1310185,51.5511672,ROOFTOP,wgs84,
137,London,NHS Brent CCG,Park Royal Medical Practice,"Central Middlesex Hospital, Acton Lane, London",NW10 7NS,-0.2690778,51.530944,GEOMETRIC_CENTER,wgs84,
138,London,NHS Brent CCG,Wembley Centre for Health and Care,"116 Chaplin Road, Wembley, London",HA0 4UZ,-0.3058748,51.5501828,ROOFTOP,wgs84,
139,London,NHS City and Hackney CCG,Bocking Centre,"Bocking Street, London ",E8 3RU,-0.0581972,51.5373233,GEOMETRIC_CENTER,wgs84,
140,London,NHS City and Hackney CCG,John Scott Health Centre,"John Scott Health Centre,Green Lanes, London",N4 2NU,-0.0933499,51.5687092,ROOFTOP,wgs84,
141,London,NHS Hammersmith and Fulham CCG,Richford Gate Medical Centre,"Richford Street, Shepherds Bush, London",W6 7HY,-0.2272958,51.5013131,GEOMETRIC_CENTER,wgs84,
142,London,NHS Harrow CCG,The Hive,"The Hive, Camrose Ave, London",HA8 6AG,-0.2908688,51.6026098,GEOMETRIC_CENTER,wgs84,
143,London,NHS Havering CCG,Hornchurch Library,"44 North Street, London",RM11 1TB,-0.1428212,51.4671242,ROOFTOP,wgs84,
144,London,NHS Havering CCG,Victoria Hospital (Raphael House),"13 Petitts Lane, Romford",RM1 4HL,0.1871972,51.5837417,ROOFTOP,wgs84,
145,London,NHS Hillingdon CCG,Navnat Centre ,"The NavNat Centre, Printing House Lane, Hayes",UB3 1AR,-0.4252155,51.5089686,GEOMETRIC_CENTER,wgs84,
146,London,NHS Hounslow CCG,Heart of Hounslow Centre for Health,"92 Bath Road, Hounslow, London",TW3 3LN,-0.3718657,51.4681955,ROOFTOP,wgs84,
147,London,NHS Hounslow CCG,Thornbury Road Health Centre,"Thornbury Road Health Centre, Thornbury Road, Isleworth",TW7 4HQ,-0.346376,51.4746041,GEOMETRIC_CENTER,wgs84,
148,London,NHS Newham CCG ,Liberty Bridge (Sir Ludwig Guttman),"40 Liberty Bridge Rd, East Village, London ",E20 1AS,-0.0052301,51.5486081,ROOFTOP,wgs84,
149,London,NHS North Central London CCG,Belsize Priory Health Centre,"208 Belsize Rd, London",NW6 4DX,-0.1879884,51.5397686,ROOFTOP,wgs84,
150,London,NHS North Central London CCG,Bingfield ,8 Bingfield St,N1 0AL,-0.119247,51.5393039,ROOFTOP,wgs84,
151,London,NHS North Central London CCG,Bloomsbury Surgery,"1 Handel Street, London",WC1N 1PD,-0.122468,51.5255377,ROOFTOP,wgs84,
152,London,NHS North Central London CCG,Bounds Green Group Practice,"Gordon Road, London",N11 2PF,-0.3113474,51.5148137,GEOMETRIC_CENTER,wgs84,
153,London,NHS North Central London CCG,Carlton House,"28 Tenniswood Road, Enfield, London",EN1 3LL,-0.0769182,51.6625941,ROOFTOP,wgs84,
154,London,NHS North Central London CCG,Evergreen Surgery,"Evergreen Primary Care Centre, 1 Smythe Close, Edmonton, London",N9 0TW,-0.0603314,51.6237322,ROOFTOP,wgs84,
155,London,NHS North Central London CCG,Hanley Primary Care Centre,"51 Hanley Road, London",N4 3DU,-0.1194642,51.5685599,ROOFTOP,wgs84,
156,London,NHS North Central London CCG,Lane End Medical Group,"2 Penshurst Gardens, Edgware",HA8 9GJ,-0.2748077,51.6153339,ROOFTOP,wgs84,
157,London,NHS North Central London CCG,Lordship Lane Health Centre,239 Lordship Lane,N17 6AA,-0.0804892,51.5972449,ROOFTOP,wgs84,
