areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage
nation,England,E92000001,2021-03-26,57.100000000000001421,5.5999999999999996447
nation,England,E92000001,2021-03-25,56.299999999999997158,5
nation,England,E92000001,2021-03-24,55.799999999999997158,4.5999999999999996447
nation,England,E92000001,2021-03-23,55.100000000000001421,4.0999999999999996447
nation,England,E92000001,2021-03-22,54.5,3.7999999999999998224
nation,England,E92000001,2021-03-21,53.899999999999998579,3.7000000000000001776
nation,England,E92000001,2021-03-20,53.200000000000002842,3.6000000000000000888
nation,England,E92000001,2021-03-19,51.700000000000002842,3.3999999999999999112
nation,England,E92000001,2021-03-18,50.5,3.2000000000000001776
nation,England,E92000001,2021-03-17,49.399999999999998579,3
nation,England,E92000001,2021-03-16,48.600000000000001421,2.7999999999999998224
nation,England,E92000001,2021-03-15,47.700000000000002842,2.6000000000000000888
nation,England,E92000001,2021-03-14,47,2.6000000000000000888
nation,England,E92000001,2021-03-13,46.5,2.5
nation,England,E92000001,2021-03-12,45.399999999999998579,2.3999999999999999112
nation,England,E92000001,2021-03-11,44.700000000000002842,2.2999999999999998224
nation,England,E92000001,2021-03-10,44.299999999999997158,2.1000000000000000888
nation,England,E92000001,2021-03-09,43.799999999999997158,2
nation,England,E92000001,2021-03-08,43.399999999999998579,1.8999999999999999112
nation,England,E92000001,2021-03-07,43,1.8000000000000000444
nation,England,E92000001,2021-03-06,42.600000000000001421,1.8000000000000000444
nation,England,E92000001,2021-03-05,41.799999999999997158,1.6999999999999999556
nation,England,E92000001,2021-03-04,40.899999999999998579,1.6000000000000000888
nation,England,E92000001,2021-03-03,40.200000000000002842,1.5
nation,England,E92000001,2021-03-02,39.700000000000002842,1.3999999999999999112
nation,England,E92000001,2021-03-01,39.299999999999997158,1.3999999999999999112
nation,England,E92000001,2021-02-28,38.899999999999998579,1.3999999999999999112
nation,England,E92000001,2021-02-27,38.5,1.3000000000000000444
nation,England,E92000001,2021-02-26,37.700000000000002842,1.3000000000000000444
nation,England,E92000001,2021-02-25,36.700000000000002842,1.3000000000000000444
nation,England,E92000001,2021-02-24,35.700000000000002842,1.1999999999999999556
nation,England,E92000001,2021-02-23,34.799999999999997158,1.1999999999999999556
nation,England,E92000001,2021-02-22,34.100000000000001421,1.1999999999999999556
nation,England,E92000001,2021-02-21,33.799999999999997158,1.1999999999999999556
nation,England,E92000001,2021-02-20,33.5,1.1999999999999999556
nation,England,E92000001,2021-02-19,32.799999999999997158,1.1000000000000000888
nation,England,E92000001,2021-02-18,32.100000000000001421,1.1000000000000000888
nation,England,E92000001,2021-02-17,31.199999999999999289,1.1000000000000000888
nation,England,E92000001,2021-02-16,30.300000000000000711,1.1000000000000000888
nation,England,E92000001,2021-02-15,29.600000000000001421,1.1000000000000000888
nation,England,E92000001,2021-02-14,29.100000000000001421,1.1000000000000000888
nation,England,E92000001,2021-02-13,28.600000000000001421,1.1000000000000000888
nation,England,E92000001,2021-02-12,27.699999999999999289,1.1000000000000000888
nation,England,E92000001,2021-02-11,26.699999999999999289,1.1000000000000000888
nation,England,E92000001,2021-02-10,25.800000000000000711,1.1000000000000000888
nation,England,E92000001,2021-02-09,25,1.1000000000000000888
nation,England,E92000001,2021-02-08,24.300000000000000711,1.1000000000000000888
nation,England,E92000001,2021-02-07,23.800000000000000711,1.1000000000000000888
nation,England,E92000001,2021-02-06,23.199999999999999289,1.1000000000000000888
nation,England,E92000001,2021-02-05,22.199999999999999289,1.1000000000000000888
nation,England,E92000001,2021-02-04,21.300000000000000711,1.1000000000000000888
nation,England,E92000001,2021-02-03,20.399999999999998579,1.1000000000000000888
nation,England,E92000001,2021-02-02,19.600000000000001421,1
nation,England,E92000001,2021-02-01,18.899999999999998579,1
nation,England,E92000001,2021-01-31,18.300000000000000711,1
nation,England,E92000001,2021-01-30,17.600000000000001421,1
nation,England,E92000001,2021-01-29,16.399999999999998579,1
nation,England,E92000001,2021-01-28,15.400000000000000355,1
nation,England,E92000001,2021-01-27,14.599999999999999645,1
nation,England,E92000001,2021-01-26,14.099999999999999645,1
nation,England,E92000001,2021-01-25,13.5,1
nation,England,E92000001,2021-01-24,12.900000000000000355,1
nation,England,E92000001,2021-01-23,12.5,1
nation,England,E92000001,2021-01-22,11.5,1
nation,England,E92000001,2021-01-21,10.5,1
nation,England,E92000001,2021-01-20,9.6999999999999992895,1
nation,England,E92000001,2021-01-19,9,1
nation,England,E92000001,2021-01-18,8.3000000000000007105,1
nation,England,E92000001,2021-01-17,8,1
nation,England,E92000001,2021-01-16,7.5999999999999996447,1
nation,England,E92000001,2021-01-15,7,1
nation,England,E92000001,2021-01-14,6.2999999999999998224,1
nation,England,E92000001,2021-01-13,5.5999999999999996447,0.9000000000000000222
nation,England,E92000001,2021-01-12,5.0999999999999996447,0.9000000000000000222
nation,England,E92000001,2021-01-11,4.7000000000000001776,0.9000000000000000222
nation,England,E92000001,2021-01-10,4.4000000000000003553,0.80000000000000004441
